FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
91,NSW0225,Eucalyptus sideroxylon,-32.60118817,147.551004,239,3938,30,69,58,12,42,17.4832993,12.9833002,44.0112991,609.9489746,31.2999992,1.8,29.5,23.3167,9.9166698,24.9832993,9.9166698,501,59,26,18.8756008,145,106,145,106,0.895189,14.8086004
92,NSW0226,Eucalyptus sideroxylon,-32.56866672,147.5501287,260,3116,23,69,65,12,44,17.4291992,12.8249998,43.6223984,609.348999,31.2000008,1.8,29.3999996,23.2833004,9.8666697,24.9333,9.8666697,512,61,27,18.6898994,149,108,149,108,0.892226,11.4642
93,NSW0228,Eucalyptus sideroxylon,-32.48178863,147.5559789,265,2883,26,67,62,12,46,17.4041996,12.5749998,43.2131004,601.4769897,31.1000004,2,29.1000004,24.8167,9.9499998,24.8167,9.9499998,532,64,29,18.4157009,157,112,157,112,0.886637,10.7181997
94,NSW0229,Eucalyptus sideroxylon,-32.44752567,147.5309473,276,2076,26,65,64,10,48,17.3833008,12.3832998,43.1474991,597.7700195,30.8999996,2.2,28.7000008,24.7667007,10,24.7667007,10,535,65,29,18.6256008,159,112,159,112,0.906265,11.1431999
95,NSW0230,Eucalyptus sideroxylon,-32.32536161,147.4490555,249,2498,27,68,62,10,46,17.5832996,12.3832998,42.9976997,599.5089722,31.1000004,2.3,28.7999992,24.9832993,10.1332998,24.9832993,10.1332998,519,66,29,20.2847004,159,107,159,107,0.88663,11.4415998
96,NSW0231,Eucalyptus sideroxylon,-32.39632113,147.4536348,266,2635,27,64,62,11,44,17.4792004,12.3249998,42.7951012,601.1859741,31,2.2,28.7999992,24.8999996,10.0500002,24.8999996,10.0500002,525,65,29,19.2259998,158,110,158,110,0.888622,10.5709
97,NSW0232,Eucalyptus sideroxylon,-32.40859215,147.4304442,285,2286,28,69,62,10,45,17.4542007,12.2749996,42.9196014,598.1090088,30.8999996,2.3,28.6000004,24.8500004,10.0667,24.8500004,10.0667,521,65,29,19.1389999,156,110,156,110,0.892071,10.4019003
98,NSW0234,Eucalyptus sideroxylon,-32.71063068,146.9679654,273,2093,26,70,64,10,43,17.3833008,12.3832998,42.8488998,608.2249756,30.7999992,1.9,28.8999996,24.7833004,10.6999998,24.7833004,9.8000002,425,40,29,9.8979397,118,96,118,101,0.914522,10.1742001
99,NSW0235,Eucalyptus sideroxylon,-32.61420275,147.0156612,309,1185,27,69,62,11,35,17.0958004,12.4250002,42.6976013,608.4459839,30.7000008,1.6,29.1000004,24.1667004,10.3999996,24.5499992,9.53333,460,46,32,9.8366203,128,105,128,106,0.89842,10.1046
100,NSW0249,Eucalyptus sideroxylon,-32.53290567,147.4559476,294,1708,28,69,61,11,40,17.3708,12.375,43.2691994,598.4660034,30.7999992,2.2,28.6000004,24.75,9.9833298,24.75,9.9833298,518,64,28,19.5445995,154,109,154,109,0.900549,9.9835396
101,NSW0251,Eucalyptus sideroxylon,-32.55682116,147.4776511,285,2433,26,66,65,9,54,17.2542,12.1583004,42.5116997,602.0700073,30.7000008,2.0999999,28.6000004,24.6667004,9.8000002,24.6667004,9.8000002,518,64,28,19.5207996,153,110,153,110,0.897863,10.4245005
102,NSW0252,Eucalyptus sideroxylon,-32.57087342,147.4901369,282,1787,26,65,64,10,43,17.2625008,12.2582998,42.7120018,605.1380005,30.7000008,2,28.7000008,24.7000008,9.75,24.7000008,9.75,516,63,28,19.0396996,151,110,151,110,0.891331,11.1253996
103,NSW0254,Eucalyptus sideroxylon,-32.59760558,147.5158107,256,2427,30,69,59,11,42,17.3708,12.6917,43.3162994,609.8709717,31.1000004,1.8,29.2999992,23.2166996,9.8166704,24.8833008,9.8166704,507,61,27,18.8903008,147,107,147,107,0.883434,9.8803196
104,NSW0255,Eucalyptus sideroxylon,-32.66352514,147.4763455,275,2470,31,70,58,11,44,17.3292007,12.8916998,43.9989014,609.6290283,31,1.7,29.2999992,23.1333008,9.75,24.7999992,9.75,507,62,27,19.5974998,148,107,148,107,0.895233,10.6548996
105,NSW0257,Eucalyptus sideroxylon,-32.81261858,147.4230573,315,2783,28,68,61,11,44,17.0375004,12.5583,43.0079994,608.6090088,30.7000008,1.5,29.2000008,24.5333004,9.4833298,24.5333004,9.4833298,529,67,30,20.2733994,153,112,153,112,0.885173,10.2090998
