FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
152,GOL0034,Eucalyptus melliodora,-34.77297993,149.964274,622,2102,27,64,53,21,64,13.1499996,12.1499996,47.4608994,483.8439941,25,-0.6,25.6000004,18.7332993,7.9833298,19.0167007,7,731,76,43,14.9372997,215,152,197,157,0.893659,16.3183002
153,LBM02D09,Eucalyptus melliodora,-33.44218,147.51628,211,7659,41,71,46,14,42,17.2250004,13.0166998,43.9752007,605.4130249,31,1.4,29.6000004,24.7000008,21.6499996,24.7000008,9.6999998,470,52,34,12.9074001,131,108,131,110,0.892362,10.3301001
154,NSW0205,Eucalyptus melliodora,-32.48684258,147.9255537,221,5843,37,71,48,16,37,17.7124996,12.875,43.9420013,602.2420044,31.5,2.2,29.2999992,23.5499992,10.25,25.1499996,10.25,532,66,29,19.2840004,158,110,157,110,0.891331,11.1253996
155,NSW0206,Eucalyptus melliodora,-32.46047236,147.8798483,215,5198,37,71,49,14,42,17.7292004,13.0916996,44.3785019,604.3270264,31.6000004,2.0999999,29.5,23.5832996,10.2166996,25.1833,10.2166996,539,66,29,19.1772995,160,110,160,110,0.886123,12.7629004
156,NSW0223,Eucalyptus melliodora,-32.88425309,147.6891232,256,2851,33,70,55,12,44,17.3792,12.6750002,43.4075012,603.3300171,31,1.8,29.2000008,23.1499996,9.8999996,24.7999992,9.8999996,535,66,29,19.8535995,156,113,154,113,0.889665,10.9520998
157,NSW0224,Eucalyptus melliodora,-32.67660854,147.5864269,251,3453,36,71,50,14,35,17.4167004,12.7666998,43.8717003,606.6350098,31,1.9,29.1000004,24.8500004,9.8833303,24.8500004,9.8833303,515,61,27,18.7381992,149,109,149,109,0.893528,11.7068996
158,NSW0256,Eucalyptus melliodora,-32.68483621,147.4719048,261,3570,34,68,54,12,41,17.3500004,12.9499998,44.0475998,609.7800293,31.1000004,1.7,29.3999996,23.1333008,9.7666702,24.8167,9.7666702,507,63,27,20.3038998,148,106,148,106,0.898028,10.3301001
159,NSW0268,Eucalyptus melliodora,-33.39228242,147.558404,216,8286,44,72,45,12,39,17.1917,13.25,44.6128006,603.8850098,31,1.3,29.7000008,22.9333,13.7333002,24.6166992,9.6666698,472,53,32,14.1178999,134,107,133,108,0.891019,11.2488003
160,NSW0288,Eucalyptus melliodora,-33.40575364,147.9803256,234,5953,43,72,41,15,68,17.0792007,12.4417,43.6549988,591.1680298,30.2999992,1.8,28.5,22.6833,21.4333,24.3833008,9.75,515,54,36,11.6696997,142,117,140,121,0.891997,12.5116997
161,J365,Eucalyptus melliodora,-33.31832,148.97163,877,818,32,56,48,20,92,12.0166998,10.2666998,41.5654984,510.9410095,23.3999996,-1.3,24.7000008,6.4833298,15.8500004,18.3666992,5.6666698,942,99,54,18.2162991,283,185,238,267,0.868587,14.6634998
162,LBM01E12,Eucalyptus melliodora,-33.416668,149.55055,717,2252,27,66,56,17,61,13.3374996,12.625,46.0765991,533.5859985,26.2000008,-1.2,27.3999996,18.5,10.1167002,19.9666996,6.6999998,703,83,39,19.6175995,213,134,213,151,0.887084,10.8899002
163,LBM01G09,Eucalyptus melliodora,-33.423,149.752,842,2158,28,62,52,20,70,12.8458004,10.7917004,42.4869003,505.0939941,24.7000008,-0.7,25.3999996,19.0499992,9.8000002,19.0499992,6.5,730,89,42,20.1739006,220,137,220,163,0.892872,15.0204
164,LBM02C03,Eucalyptus melliodora,-34.036884,148.5675,332,3530,29,64,52,19,49,15.7250004,11.8167,42.6594009,564.65802,28.7000008,1,27.7000008,12,20.0167007,22.75,8.8500004,641,63,40,15.3042002,183,130,157,165,0.895795,10.4561996
165,LBM02D02,Eucalyptus melliodora,-33.6166,149.64452,768,1992,26,63,54,20,71,13.1457996,12.1750002,45.0926018,522.9699707,25.7999992,-1.2,27,18.1499996,10.0166998,19.6333008,6.6166701,725,89,43,18.7770004,217,142,217,162,0.896721,10.0855999
166,LBM02G08,Eucalyptus melliodora,-33.121143,149.05785,724,2163,28,63,51,21,58,13.6708002,12.0749998,44.5572014,536.9970093,26.3999996,-0.7,27.1000004,7.9166698,14.2166996,20.3999996,7.0833302,820,85,51,16.2868996,234,167,218,216,0.893661,10.3205996
167,LBM03D01,Eucalyptus melliodora,-33.224724,149.28056,772,2230,30,64,52,18,57,13.6374998,12.125,44.5772018,533.5560303,26.5,-0.7,27.2000008,20.3167,10.5166998,20.3167,7.0666699,782,86,49,16.6163998,220,158,220,192,0.912371,8.98487
