"","RC1","RC2","RC6"
"SampleIDGOL0033",-0.774772727465197,-0.506543271199746,-0.295089665149406
"SampleIDGOL0034",-0.796501023261501,-0.76001247156275,-0.57844283546712
"SampleIDGOL0035",0.816542206898805,0.104651244870028,-3.06987266965025
"SampleIDGOL0036",-0.260763954830455,-0.0586030018318777,-2.47909977038502
"SampleIDGOL0037",-0.1069807106741,-0.0370457076409394,-2.39869200325757
"SampleIDGOL0038",0.103045067670441,-0.17839921996949,-2.40684825865882
"SampleIDGOL0039",0.513134339250638,-0.14069019361978,-2.40367014414444
"SampleIDGOL0040",0.472452298631244,-0.253357020887548,-2.60660395416246
"SampleIDGOL0041",0.521022159282557,-0.120453779145234,-2.45915292088389
"SampleIDGOL0056",0.0165560817494868,-0.985045952075766,-1.26717728882072
"SampleIDGOL0057",-0.0936476342748521,-1.07511236626386,-1.17066759187379
"SampleIDGOL0058",-0.0202072974671196,-0.357524007179062,-1.75343941180064
"SampleIDGOL0059",0.220895092247366,-0.697842084585837,-1.3334026181058
"SampleIDGOL0060",0.148804444762619,-0.793049806107429,-1.16721095885741
"SampleIDJ296",0.209461663738778,1.15338725344537,1.07281838706441
"SampleIDJ318",-0.300013607158389,1.28135944314307,0.933751390305504
"SampleIDJ319",0.0133502873209729,1.25882057447517,-0.428346890311007
"SampleIDJ340",-0.0232443821100506,1.97629388052658,-0.463189023661706
"SampleIDJ346",0.479539967362756,0.126329856302563,0.0555102391341216
"SampleIDJ357",0.771858393252526,-0.488288985324085,0.360621685901397
"SampleIDJ358",0.806058002668104,-1.52289317975639,0.427157874844526
"SampleIDJ365",-1.34537691059585,1.15782438675931,-1.65094235699906
"SampleIDJ373",-2.60659990513642,-1.09372456377677,1.73216366819159
"SampleIDJ375",-3.07290631470599,-0.87973983645787,1.64075127829341
"SampleIDLBM01B01",-0.613706710189981,-0.795769976690016,0.137289133337594
"SampleIDLBM01B08",-0.140177657719653,-0.432821332836028,0.678933936488826
"SampleIDLBM01C02",0.205657311422406,-1.90866151691362,0.422315311814568
"SampleIDLBM01C04",-0.686396121302825,-0.633404500643161,-1.79074682786586
"SampleIDLBM01E06",-1.80323411465737,-0.327184619262527,1.52220207332733
"SampleIDLBM01E12",0.397015356583028,0.0438429545217871,-1.15618542272136
"SampleIDLBM01G05",-0.216709541995794,-1.50355344845574,0.142884502866819
"SampleIDLBM01G09",-0.911125802933055,0.206132402536024,-1.27248188683679
