"","dem3s_int","ADBed","Pclay","pH","Psand","Psilt","SOC","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","HLI","CTI"
"BIO4",-0.276796316812226,0.61860258904521,0.385361564470824,0.383997961091834,-0.208390825729394,-0.363282371852098,-0.719501816066092,0.479707729145525,0.644841770696727,-0.365046430407982,1,0.734601051022224,-0.155279571983629,0.937096595531712,-0.0957061763039356,0.39656828807906,0.709018098621919,0.177809205006743,-0.477316955253424,-0.348349606621687,-0.223455329830571,-0.20034855854215,-0.433386558141381,-0.288695959324219,-0.323426286587907,-0.133639462411554,0.0281464809221525,0.209015537678153
"BIO5",-0.514385517400303,0.615053043354602,0.656997304147208,0.537326591880784,-0.516969569828788,-0.281470472080275,-0.660117339074383,0.927359500178273,0.702363777664923,-0.0058297535327145,0.734601051022224,1,0.482585970861002,0.794577494891963,0.304441398985131,0.302522769752277,0.97513041457545,0.761170186248271,-0.398046054487881,-0.0299771783130981,-0.443715005582327,0.270343684134127,-0.174085867595985,-0.444901556436165,-0.0082039422982175,-0.36014653113164,0.0807063710541968,0.215962472015758
"BIO6",-0.522640987359678,0.167839391327185,0.451123439921168,0.179016471667793,-0.448421242209026,-0.0142078777645336,-0.0316978457669207,0.766359096338608,-0.0929237387308532,0.0852794058571481,-0.155279571983629,0.482585970861002,1,-0.148330696167591,0.444896470308216,0.0830427000574518,0.568062416093379,0.917929603174379,-0.00686505450570732,0.296991135948601,-0.388800322032411,0.526214932054101,0.2210605013067,-0.295657236541535,0.262211853355453,-0.242438007754876,0.0160813783573849,0.0251429586823996
"BIO7",-0.218493393508027,0.578117465583693,0.429097143034762,0.482606727840304,-0.272862318450408,-0.307964537192329,-0.723377581268368,0.515838217889496,0.857470008516755,-0.0657006058957382,0.937096595531712,0.794577494891963,-0.148330696167591,1,0.0353360613778345,0.284016885472182,0.707242103397016,0.223117686880551,-0.444682520444341,-0.239730366013042,-0.231480014335359,-0.0595365670369955,-0.349809064425747,-0.297389170612342,-0.191035801808018,-0.238583676263423,0.0799790641215144,0.226417616955541
"BIO8",0.248204349056136,-0.0805909422950417,0.145937442606759,0.233251596686227,-0.214612336360561,0.15859064017199,0.0855633798499393,0.374813645423929,0.227279446161924,0.368167577747771,-0.0957061763039356,0.304441398985131,0.444896470308216,0.0353360613778345,1,-0.675337096802689,0.232296136521233,0.370592922213502,0.096342406705252,0.429643264281337,-0.0646327117380764,0.386954776973901,0.244220366153546,0.0215695081922755,0.665959930464984,-0.654819885151369,0.0250068166747689,-0.000873377229268828
"BIO9",-0.637609724069636,0.4594604596399,0.327628114829083,0.0645604878169426,-0.201578765833485,-0.274644192256659,-0.407875213110712,0.293521521900205,0.040272687436553,-0.394721086139552,0.39656828807906,0.302522769752277,0.0830427000574518,0.284016885472182,-0.675337096802689,1,0.401662753028889,0.26579535345385,-0.28511132519208,-0.358676807009076,-0.242548720731122,-0.137800137456654,-0.264963095405781,-0.30569456420831,-0.599566332140118,0.457057081138203,0.00859335532452335,0.144553618392019
"BIO10",-0.621217230478999,0.640174945082009,0.663219626905665,0.486642139125503,-0.519755890991675,-0.294520597185507,-0.647009300865278,0.956377440361898,0.548418509914637,-0.14859900431172,0.709018098621919,0.97513041457545,0.568062416093379,0.707242103397016,0.232296136521233,0.401662753028889,1,0.81913447349765,-0.414272678898143,-0.0793713756519774,-0.466189666510222,0.221019127545784,-0.207493230881104,-0.460690629761129,-0.0887308924443245,-0.2886382724122,0.0522843773013599,0.208852681973831
"BIO11",-0.667022241011236,0.404602339380916,0.617301599005406,0.371178921996186,-0.554475044267711,-0.130446515951781,-0.326357506016587,0.942688522820982,0.236954527542384,0.0857590379231827,0.177809205006743,0.761170186248271,0.917929603174379,0.223117686880551,0.370592922213502,0.26579535345385,0.81913447349765,1,-0.203489371332718,0.154884891640621,-0.486031035986473,0.469415161731501,0.0514054649368648,-0.427201428903278,0.107796456834749,-0.274735115363455,0.0516933222134732,0.120663069042627
"BIO12",0.528424815068743,-0.610650391114947,-0.329170092452006,-0.602325820015663,0.0922830043027035,0.497653631489325,0.642048999012792,-0.30295990857397,-0.308569330496016,0.144092509030973,-0.477316955253424,-0.398046054487881,-0.00686505450570732,-0.444682520444341,0.096342406705252,-0.28511132519208,-0.414272678898143,-0.203489371332718,1,0.834968280244175,0.710785652686619,0.372378604075842,0.910118432800369,0.795404593544883,0.684470925275755,0.528077423156983,-0.055621225545793,-0.180178438220402
"BIO13",0.411561005689121,-0.443217579551531,-0.0232623758054307,-0.314065135804077,-0.180749718857715,0.434558402096678,0.491998438379331,0.0771915371872269,-0.0491993081784959,0.285396244558209,-0.348349606621687,-0.0299771783130981,0.296991135948601,-0.239730366013042,0.429643264281337,-0.358676807009076,-0.0793713756519774,0.154884891640621,0.834968280244175,1,0.387209257558187,0.753058649064645,0.951283112833737,0.471646672981423,0.859126345340097,0.184486160364522,-0.0202695118234314,-0.109447013791263
