"","dem3s_int","ADBed","Pclay","pH","Psand","Psilt","SOC","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","HLI","CTI"
"BIO4",-0.23399080315479,0.0741992998725063,-0.152326817858794,0.459267391881487,0.391037371272841,-0.524765502967067,-0.433341577129573,0.558214085583544,0.384764166633362,-0.535115585633864,1,0.766688797976424,-0.0292087713469645,0.910167727748907,0.284769543684802,-0.131715467753568,0.800538964586809,0.206025798556681,-0.546669210492844,-0.450385441484583,-0.170422374307472,-0.60180276826107,-0.599552540243016,-0.119766760721033,-0.322566763744241,-0.439437312738255,-0.0510896880783664,0.0324170585869161
"BIO5",-0.140512565965842,0.0961507171724861,0.00597205020017738,0.617513019556645,0.333293143700882,-0.625902692939611,-0.375668095414153,0.930213398948895,0.581599700516583,-0.110319431311509,0.766688797976424,1,0.515814156006383,0.794539227880876,0.706329062032825,-0.493658055261433,0.962740844938578,0.717850143060802,-0.461480891312163,-0.153288294993113,-0.355659171645846,-0.184370445710108,-0.372754472721653,-0.255291351689015,0.0544128005173403,-0.774873472785228,0.00686430570242398,0.0384706678229577
"BIO6",-0.223467817896468,0.0305623315758536,-0.108985476957224,0.439011317925623,0.345293949719253,-0.493980344151969,-0.0977796368427393,0.783504780056069,-0.0561856989344554,0.07150670333375,-0.0292087713469645,0.515814156006383,1,-0.110364953362884,0.627504874511208,-0.511359582487667,0.560730047377501,0.947363171530496,-0.32881455859911,-0.0207842036503039,-0.512936963698377,0.165820798262222,-0.162279832288212,-0.434507121315299,0.127953763999778,-0.65462555188119,0.107580625620247,0.0661442717718434
"BIO7",-0.00462436979538066,0.0898862275770977,0.084175234347152,0.405237808159137,0.141928470005796,-0.376010003482272,-0.3665226548465,0.52384316129421,0.714559434946788,-0.178668427551656,0.910167727748907,0.794539227880876,-0.110364953362884,1,0.374676034338662,-0.210269741607095,0.719477949636119,0.161332726375005,-0.302324310263874,-0.16310424380645,-0.0490540158573907,-0.331425868360956,-0.31742599715607,0.0117969476375356,-0.0275648452390232,-0.434974456779979,-0.0682874581048728,-0.00225052263442849
"BIO8",0.26156918442867,0.0566286682914532,0.171191515283021,0.549446237471715,0.0666080740559097,-0.348977684544453,-0.133834348336918,0.739212776067966,0.539652207810305,0.324326425259311,0.284769543684802,0.706329062032825,0.627504874511208,0.374676034338662,1,-0.911692705998893,0.609889224282833,0.661289159249383,-0.0949013908093363,0.291045016453762,-0.279358134429022,0.27544510877913,0.0629466801899103,-0.0941847530279963,0.487754509644982,-0.740221005929551,0.124571073841528,0.00166831850096366
"BIO9",-0.2757273017959,-0.0773872005179464,-0.0989206180132923,-0.412144088087766,-0.048344900828952,0.220841995033302,0.0642596772574113,-0.538043898757514,-0.41583188691054,-0.341003002275993,-0.131715467753568,-0.493658055261433,-0.511359582487667,-0.210269741607095,-0.911692705998893,1,-0.407492990446459,-0.503413723359746,-0.0131334565051537,-0.333494165121287,0.221862785404992,-0.310418376699184,-0.138468763616727,-0.00121604785591718,-0.465014606358723,0.551946097106569,-0.123915816733952,5.12445938630276e-05
"BIO10",-0.334243220817402,0.0999321773636611,-0.14585260177232,0.634530636668334,0.489101798475084,-0.713207297516481,-0.416925752719912,0.940415665987589,0.35668858916579,-0.335803862254583,0.800538964586809,0.962740844938578,0.560730047377501,0.719477949636119,0.609889224282833,-0.407492990446459,1,0.750546695854045,-0.632054010965013,-0.361653152283252,-0.45794135299046,-0.365201269418924,-0.567234754025725,-0.368734440963537,-0.170300785620127,-0.754924578658915,0.00400723194049389,0.0581924763197144
"BIO11",-0.327866207147536,0.0926457850438407,-0.0863925016694589,0.523995771428612,0.384602446902173,-0.595852936850742,-0.210142698410749,0.916057631815383,0.1304545088066,0.0145291352629711,0.206025798556681,0.717850143060802,0.947363171530496,0.161332726375005,0.661289159249383,-0.503413723359746,0.750546695854045,1,-0.45253218247392,-0.12486875008496,-0.577258813960635,0.0434156556139266,-0.291708843679544,-0.488959271908545,0.0386387401982656,-0.733404244068035,0.0640213179564861,0.0627164706783479
"BIO12",0.709087503175429,-0.323261768556092,0.349387085562842,-0.574091635744,-0.629769600306064,0.694247586179499,0.381373265930346,-0.531235089955981,0.232264202294834,0.673301518790699,-0.546669210492844,-0.461480891312163,-0.32881455859911,-0.302324310263874,-0.0949013908093363,-0.0131334565051537,-0.632054010965013,-0.45253218247392,1,0.888686985262819,0.699285377310669,0.726515993138094,0.958059932054692,0.781160740019353,0.747659837161507,0.5643835151963,0.000833518875147405,-0.0675101786466086
"BIO13",0.747792686608455,-0.251906498551197,0.426312905073889,-0.305357350337548,-0.583336588165699,0.507417854380871,0.325679871036497,-0.190550930648188,0.452879035667808,0.8222796134158,-0.450385441484583,-0.153288294993113,-0.0207842036503039,-0.16310424380645,0.291045016453762,-0.333494165121287,-0.361653152283252,-0.12486875008496,0.888686985262819,1,0.494058891177274,0.890110111091017,0.949752810002289,0.617432278481223,0.917240676970616,0.20224565441974,0.0645176477007542,-0.0354857214835853
