"","RC2","RC1","RC3"
"SampleIDNSW0304",-0.614643522919726,-0.17318162415454,-0.0838105331695901
"SampleIDNSW0305",-0.525587135522658,-0.0954473416116207,-0.176407243340686
"SampleIDNSW0306",-0.647949939152281,0.0202603983392792,-0.261588914382288
"SampleIDNSW0356",1.28641257277492,0.254797049017407,-0.404801517465443
"SampleIDNSW0357",1.65709107972427,-0.0797028306168914,0.0256682176504382
"SampleIDNSW0358",1.78705266652738,-0.0581707139896164,0.592129179880514
"SampleIDNSW0359",1.95782850116713,-0.0961781508411483,0.644859801164256
"SampleIDNSW0361",1.80328372759663,-0.631334818081775,-0.451847786587636
"SampleIDNSW0364",1.99907285367343,-0.700158628408743,0.921178110498297
"SampleIDNSW0367",1.08088025580084,0.263537454258954,-0.75990807653837
"SampleIDNSW0369",1.34852877123623,-0.239168499466734,-0.0473317965296896
"SampleIDNSW0370",1.39416135663411,-0.305277788949687,-0.00237714464224209
"SampleIDNSW0375",1.54981556856628,0.122615597938934,0.567708181275229
"SampleIDNSW0376",1.34787771499565,-0.408846683698482,-0.102722429335608
"SampleIDNSW0377",1.35119693765605,-0.521771397956225,-0.364574718141462
"SampleIDNSW0401",2.32284039400611,-1.18505599939443,0.815664325704199
"SampleIDNSW0402",2.2515500116823,-1.13747805363942,0.807325829665433
"SampleIDNSW0476",-0.242442227603625,-1.52838040953109,0.296992146875977
"SampleIDNSW0480",-0.336490318654384,-1.70905314921098,-0.719916968122003
"SampleIDNSW0481",-0.104516452713434,-2.03137491537988,-0.491870287682739
"SampleIDNSW0482",-0.156030672871131,-2.0038467859773,-0.389173222993362
"SampleIDNSW0484",-0.454184598182363,-1.09901244998575,-0.35742854760822
"SampleIDNSW0489",-0.993108146236547,0.297470967314535,0.233118312444205
"SampleIDNSW0492",-1.048876807914,0.27670675084508,0.181016427480572
"SampleIDNSW0493",-1.20402794934605,0.253176875354395,0.0954185887328784
"SampleIDNSW0494",-1.20349442494679,0.232805093285782,-0.00106973733636926
"SampleIDNSW0495",-1.09746119987721,0.156436173722637,0.294808208251164
"SampleIDNSW0496",-1.17585398846151,0.210969640489183,0.318053711174717
"SampleIDNSW0497",-1.11612833410973,0.263869405236104,0.615586387316007
"SampleIDNSW0498",-1.08937159088803,0.353889254330947,0.296255130369805
"SampleIDNSW0499",-1.03122625483651,0.145100641370034,0.516320923317457
"SampleIDNSW0500",-1.28070899809645,0.276049406339115,0.361639850667442
"SampleIDNSW0501",-0.926108072964507,0.00985554650795938,0.500464391132076
"SampleIDNSW0502",-1.08427178948509,0.224083191823209,0.412028245508396
"SampleIDNSW0503",-1.04069299664441,0.39716087617498,0.45335649824163
"SampleIDNSW0504",-1.06530658497748,0.217304844137044,0.371783097746276
"SampleIDNSW0505",-1.16697149433477,0.332278044070843,0.470963509761777
"SampleIDNSW0506",-1.76556035729306,0.921395880225655,1.29261551105374
"SampleIDNSW0507",-1.01812577955692,0.300699607610485,0.51015376329977
"SampleIDNSW0508",-1.21595554236304,0.0723112791634407,0.58048776340857
"SampleIDNSW0509",-0.866399129423066,-0.352146904688521,0.784791886075874
"SampleIDNSW0510",-0.870575987649184,-0.445951171805748,0.761072787807757
"SampleIDNSW0512",-1.21911702438426,0.0180203722681183,0.500142035412462
"SampleIDNSW0513",-1.18051189168938,0.129359610345973,0.511485137584849
"SampleIDNSW0514",-1.12144531590045,-0.0315930039289791,0.328460039035554
"SampleIDNSW0515",-0.775642548645826,0.245682531298037,0.456403088146679
"SampleIDNSW0516",-0.906057380559173,0.349127050043416,0.536071194753126
"SampleIDNSW0517",-0.773505643661578,0.249866415215809,0.675572380772043
"SampleIDNSW0518",-0.898569275348735,0.257563680476205,0.443305008558572
"SampleIDNSW0519",-1.06681956938869,0.178667290687919,0.486382341843215
"SampleIDNSW0520",-1.25673945919018,0.186091296386237,0.758185045385159
"SampleIDNSW0521",-1.14194291103177,0.0762261980317978,0.815084345709561
"SampleIDNSW0549",-0.383505835691088,-1.42967225450191,-0.195084032934187
"SampleIDNSW0550",-0.310981602359574,-1.56812237422244,0.336661710662308
"SampleIDNSW0551",0.0906070209622455,-1.84760211514939,1.12862989236295
"SampleIDNSW0569",0.17642082612734,-0.911445822617673,0.319625893455758
"SampleIDNSW0571",0.375073599969845,-1.10415208423624,1.29857869975301
"SampleIDNSW0574",0.445814742374132,-1.53806665902653,1.70458958802722
"SampleIDNSW0575",-0.0367498537567632,-1.13949818620051,0.839325524703148
"SampleIDNSW0578",0.138407185634681,-1.33079272922338,0.912271771554233
"SampleIDNSW0581",-0.105525244716187,-1.58381972647675,-0.528121941780025
"SampleIDNSW0586",0.351543625897061,-1.00323141361272,0.102218667249551
"SampleIDNSW0634",-0.528857184408718,-0.238551810440225,-2.22107344395809
"SampleIDNSW0635",-0.529337085531788,-0.20046226433223,-2.46555750901867
"SampleIDNSW0636",-0.761889334456681,-0.0305302020633147,-2.55921567435893
"SampleIDNSW0638",-0.572898045333553,-0.0730622561829529,-2.51322874691523
"SampleIDNSW0640",-0.390744975166909,-0.344257788256044,-2.43591548076713
"SampleIDNSW0641",-0.207464467680331,-0.661763033023074,-1.68194380592443
"SampleIDNSW0643",-0.361902337684651,-0.587350733224033,-1.73674106772555
"SampleIDNSW0645",-0.510779021430187,-0.272457555717208,-2.07908865313842
