Sample_ID,Site,TDiurnRng,TSeas,AveTWrmQtr,PSeas,PWrmQtr,Pops7
NP39,NP,150,9264,200,47,76,3
NP40,NP,150,9264,200,47,76,3
NP42,NP,151,9243,200,48,78,3
NP65,NP,158,8954,198,56,104,3
NP66,NP,157,8945,197,56,106,3
NP67,NP,157,8992,200,56,103,3
NP75,NP,153,8995,205,56,99,3
NP76,NP,153,8982,204,56,99,3
NP80,NP,154,8985,203,54,98,3
NP83,NP,154,9015,202,53,95,3
NP86,NP,154,9053,201,52,91,3
NP91,NP,152,9216,201,48,82,3
MIAA,SM,169,9228,228,26,73,4
MIAC,SM,169,9228,228,26,73,4
MIAG,SM,169,9228,228,26,73,4
MIBE,SM,164,9086,221,25,78,4
MIBM,SM,168,9229,230,25,72,4
MIBK,SM,164,9086,221,25,78,4
51_MIBC,SM,171,8266,181,23,115,4
56_MIBC,SM,170,8225,177,23,120,4
60_MIBC,SM,170,8225,177,23,120,4
67_MIPP,SM,167,8885,210,26,83,4
70_MIPP,SM,168,8909,212,26,81,4
72_MIPP,SM,168,8909,212,26,81,4
88_MI1,SM,169,9219,228,26,73,4
92_MI1,SM,169,9219,228,26,73,4
100_MI1,SM,167,9141,223,25,75,4
6_MI2,SM,167,9078,221,25,78,4
23_MI2,SM,169,9185,227,26,73,4
26_MI2,SM,169,9185,227,26,73,4
33_MI3,SM,169,9094,222,26,75,4
38_MI3,SM,169,9094,222,26,75,4
42_MI3,SM,169,9094,222,26,75,4
46_MI4,SM,170,9097,222,27,75,4
59_MI4,SM,170,9075,221,27,75,4
63_MI4,SM,170,9097,222,27,75,4
76_MIPP,SM,167,8705,201,26,91,4
80_MIPP,SM,164,8395,184,25,106,4
81_MIPP,SM,168,8778,206,26,86,4
89_MISP,SM,169,8274,180,25,115,4
94_MISP,SM,169,8274,180,25,115,4
98_MISP,SM,170,8293,181,25,115,4
UTIC50,UTIC,149,8750,204,26,86,4
UTIC51,UTIC,149,8750,204,26,86,4
UTIC52,UTIC,149,8750,204,26,86,4
UTIC53,UTIC,149,8750,204,26,86,4
UTIC54,UTIC,149,8750,204,26,86,4
UTIC55,UTIC,149,8750,204,26,86,4
UTIC56,UTIC,149,8750,204,26,86,4
UTIC57,UTIC,149,8750,204,26,86,4
UTIC58,UTIC,149,8750,204,26,86,4
UTIC59,UTIC,149,8750,204,26,86,4
UTIC60,UTIC,149,8750,204,26,86,4
UTIC61,UTIC,149,8750,204,26,86,4
UTIC62,UTIC,149,8750,204,26,86,4
UTIC63,UTIC,149,8750,204,26,86,4
UTIC64,UTIC,149,8750,204,26,86,4
UTIC65,UTIC,149,8750,204,26,86,4
UTIC66,UTIC,149,8750,204,26,86,4
UTIC67,UTIC,149,8750,204,26,86,4
UTIC68,UTIC,149,8750,204,26,86,4
UTIC69,UTIC,149,8750,204,26,86,4
UTIC70,UTIC,149,8750,204,26,86,4
UTIC71,UTIC,149,8750,204,26,86,4
UTIC72,UTIC,149,8750,204,26,86,4
UTIC73,UTIC,150,8759,205,25,85,4
UTIC74,UTIC,150,8759,205,25,85,4
UTIC75,UTIC,149,8750,204,26,86,4
UTIC76,UTIC,150,8759,205,25,85,4
UTIC77,UTIC,150,8759,205,25,85,4
UTIC78,UTIC,150,8759,205,25,85,4
UTIC79,UTIC,150,8759,205,25,85,4
UTIC80,UTIC,150,8759,205,25,85,4
UTIC81,UTIC,150,8759,205,25,85,4
UTIC82,UTIC,150,8759,205,25,85,4
UTIC83,UTIC,150,8759,205,25,85,4
UTIC84,UTIC,149,8750,204,26,86,4
UTIC85,UTIC,150,8759,205,25,85,4
UTIC86,UTIC,151,8853,210,25,82,4
UTIC87,UTIC,151,8853,210,25,82,4
UTIC88,UTIC,151,8853,210,25,82,4
UTIC89,UTIC,151,8853,210,25,82,4
NLX10,NLX,174,8004,186,16,82,5
NLX14,NLX,174,8004,186,16,82,5
NLX16,NLX,174,8004,186,16,82,5
NLX22,NLX,175,8070,191,17,78,5
NLX31,NLX,176,8196,196,19,73,5
NLX33,NLX,177,8332,202,20,68,5
NLX34,NLX,177,8332,202,20,68,5
NLX35,NLX,177,8332,202,20,68,5
NSN2,NSN,178,8498,209,22,61,5
NSN3,NSN,178,8498,209,22,61,5
NSN10,NSN,178,8380,205,20,65,5
NSN11,NSN,178,8380,205,20,65,5
NSN14,NSN,178,8329,203,21,67,5
NSN16,NSN,178,8294,201,19,68,5
NSN18,NSN,178,8294,201,19,68,5
NSN19,NSN,178,8294,201,19,68,5
NSN22,NSN,176,8088,192,17,77,5
NSN25,NSN,176,8075,193,18,77,5
NSN26,NSN,176,8075,193,18,77,5
NWV5,SPNV,179,8373,205,21,63,5
NWV6,SPNV,179,8373,205,21,63,5
NWV7,SPNV,179,8398,205,21,62,5
NWV10,SPNV,179,8398,205,21,62,5
NSP1,SPNV,178,8153,193,18,70,5
NSP4,SPNV,178,8153,193,18,70,5
XNEC1,XNEC,168,7809,159,12,85,5
XNEC6,XNEC,168,7809,159,12,85,5
XNEC7,XNEC,168,7809,159,12,85,5
XNEC9,XNEC,168,7809,159,12,85,5
XNEC12,XNEC,168,7809,159,12,85,5
NKZ2,NKZ,172,8065,183,18,68,5
NKZ4,NKZ,172,8065,183,18,68,5
NKZ5,NKZ,172,8065,183,18,68,5
NKZ6,NKZ,171,8018,178,16,72,5
NKZ8,NKZ,169,7871,165,13,81,5
NKZ9,NKZ,169,7871,165,13,81,5
NKZ10,NKZ,169,7871,165,13,81,5
UTBR1,UTBR,178,7806,152,21,110,5
UTBR2,UTBR,178,7806,152,21,110,5
UTBR3,UTBR,178,7806,152,21,110,5
UTBR4,UTBR,178,7806,152,21,110,5
UTBR5,UTBR,178,7806,152,21,110,5
UTBR6,UTBR,178,7806,152,21,110,5
UTBR7,UTBR,177,7784,150,21,111,5
UTBR8,UTBR,177,7784,150,21,111,5
UTBR9,UTBR,177,7784,150,21,111,5
UTBR10,UTBR,178,7806,152,21,110,5
UTBR11,UTBR,178,7806,152,21,110,5
UTBR12,UTBR,178,7806,152,21,110,5
UTBR14,UTBR,178,7806,152,21,110,5
UTBR15,UTBR,178,7806,152,21,110,5
UTBR16,UTBR,178,7806,152,21,110,5
UTBR17,UTBR,178,7806,152,21,110,5
UTBR18,UTBR,180,7870,158,22,107,5
UTBR19,UTBR,180,7870,158,22,107,5
UTBR20,UTBR,180,7870,158,22,107,5
UTBR21,UTBR,180,7870,158,22,107,5
UTBR22,UTBR,180,7870,158,22,107,5
UTBR23,UTBR,181,7900,163,22,104,5
UTBR24,UTBR,181,7900,163,22,104,5
UTBR25,UTBR,181,7900,163,22,104,5
UTBR26,UTBR,181,7900,163,22,104,5
UTBR27,UTBR,181,7900,163,22,104,5
UTBR28,UTBR,180,7903,162,21,104,5
UTBR29,UTBR,180,7903,162,21,104,5
UTBR30,UTBR,180,7903,162,21,104,5
UTBR31,UTBR,180,7903,162,21,104,5
UTBR32,UTBR,180,7903,162,21,104,5
UTBR33,UTBR,181,7947,167,21,99,5
UTBR34,UTBR,181,7947,167,21,99,5
UTBR35,UTBR,180,7918,162,21,104,5
UTBR36,UTBR,180,7918,162,21,104,5
UTBR37,UTBR,180,7918,162,21,104,5
UTBR38,UTBR,181,7929,164,21,104,5
UTBR39,UTBR,181,7929,164,21,104,5
UTBR40,UTBR,181,7931,166,21,100,5
UTBR41,UTBR,182,7985,171,20,95,5
UTBR42,UTBR,182,7985,171,20,95,5
UTBR43,UTBR,182,7985,171,20,95,5
UTBR44,UTBR,182,7985,171,20,95,5
UTBR45,UTBR,182,8061,181,21,87,5
UTBR46,UTBR,182,8061,181,21,87,5
UTBR47,UTBR,182,8061,181,21,87,5
UTBR48,UTBR,182,8061,181,21,87,5
UTBR49,UTBR,182,8061,181,21,87,5
UTBR50,UTBR,182,8061,181,21,87,5
UTCC1,UTCC,166,8596,205,17,63,5
UTCC2,UTCC,166,8596,205,17,63,5
UTCC3,UTCC,166,8596,205,17,63,5
UTCC4,UTCC,166,8596,205,17,63,5
UTCC5,UTCC,166,8596,205,17,63,5
UTCC6,UTCC,166,8596,205,17,63,5
UTCC7,UTCC,166,8596,205,17,63,5
UTCC8,UTCC,166,8596,205,17,63,5
UTCC9,UTCC,166,8596,205,17,63,5
UTCC10,UTCC,166,8596,205,17,63,5
UTCC11,UTCC,166,8596,205,17,63,5
UTCC12,UTCC,166,8596,205,17,63,5
UTCC13,UTCC,166,8596,205,17,63,5
UTCC14,UTCC,166,8596,205,17,63,5
UTCC15,UTCC,166,8596,205,17,63,5
UTCC16,UTCC,166,8596,205,17,63,5
UTCC17,UTCC,166,8596,205,17,63,5
UTCC18,UTCC,166,8596,205,17,63,5
UTCC19,UTCC,166,8596,205,17,63,5
UTCC20,UTCC,166,8596,205,17,63,5
UTCC21,UTCC,166,8596,205,17,63,5
UTCC22,UTCC,166,8596,205,17,63,5
UTCC23,UTCC,166,8596,205,17,63,5
UTCC24,UTCC,166,8596,205,17,63,5
UTCC25,UTCC,166,8596,205,17,63,5
UTCC26,UTCC,166,8596,205,17,63,5
UTCC27,UTCC,166,8596,205,17,63,5
UTCC28,UTCC,166,8596,205,17,63,5
UTCC29,UTCC,166,8596,205,17,63,5
UTCC30,UTCC,166,8596,205,17,63,5
UTCC31,UTCC,166,8596,205,17,63,5
UTCC32,UTCC,166,8596,205,17,63,5
UTCC33,UTCC,166,8596,205,17,63,5
UTCC34,UTCC,166,8596,205,17,63,5
UTCC35,UTCC,166,8596,205,17,63,5
UTCC36,UTCC,166,8596,205,17,63,5
UTCC37,UTCC,166,8596,205,17,63,5
UTCC38,UTCC,166,8596,205,17,63,5
UTCC39,UTCC,166,8558,203,17,64,5
UTCC40,UTCC,166,8558,203,17,64,5
UTCC41,UTCC,166,8558,203,17,64,5
UTCC42,UTCC,166,8558,203,17,64,5
UTCC43,UTCC,166,8558,203,17,64,5
UTCC44,UTCC,166,8558,203,17,64,5
UTCC45,UTCC,166,8558,203,17,64,5
UTCC46,UTCC,164,8714,210,19,60,5
UTCC47,UTCC,164,8714,210,19,60,5
UTCC48,UTCC,164,8714,210,19,60,5
UTOC01,UTOC,163,8588,191,17,70,5
UTOC03,UTOC,163,8588,191,17,70,5
UTOC05,UTOC,163,8588,191,17,70,5
UTOC07,UTOC,163,8588,191,17,70,5
UTOC08,UTOC,163,8588,191,17,70,5
UTOC09,UTOC,163,8588,191,17,70,5
UTOC10,UTOC,163,8588,191,17,70,5
UTOC11,UTOC,163,8565,189,18,70,5
UTOC12,UTOC,163,8565,189,18,70,5
UTOC13,UTOC,163,8565,189,18,70,5
UTOC14,UTOC,163,8565,189,18,70,5
UTOC15,UTOC,163,8565,189,18,70,5
UTOC16,UTOC,163,8565,189,18,70,5
UTOC18,UTOC,163,8565,189,18,70,5
UTOC19,UTOC,163,8565,189,18,70,5
UTOC20,UTOC,163,8565,189,18,70,5
UTOC21,UTOC,163,8565,189,18,70,5
UTOC22,UTOC,163,8565,189,18,70,5
UTOC23,UTOC,163,8565,189,18,70,5
UTOC24,UTOC,163,8565,189,18,70,5
UTOC25,UTOC,163,8565,189,18,70,5
UTOC26,UTOC,163,8565,189,18,70,5
UTOC27,UTOC,163,8565,189,18,70,5
UTOC29,UTOC,163,8565,189,18,70,5
UTOC30,UTOC,163,8565,189,18,70,5
UTOC31,UTOC,163,8615,192,17,70,5
UTOC32,UTOC,163,8615,192,17,70,5
UTOC33,UTOC,163,8615,192,17,70,5
UTOC35,UTOC,163,8615,192,17,70,5
UTOC36,UTOC,162,8573,189,18,71,5
UTOC37,UTOC,163,8615,192,17,70,5
UTOC38,UTOC,163,8615,192,17,70,5
UTOC39,UTOC,163,8615,192,17,70,5
UTOC40,UTOC,163,8615,192,17,70,5
UTOC41,UTOC,163,8615,192,17,70,5
UTSC1,UTSC,158,8611,182,17,81,6
UTSC2,UTSC,155,8493,174,17,88,6
UTSC3,UTSC,153,8460,172,17,90,6
